chunkSize	dimensions	rules	points	timeMs	timeNormUs	matchesPercent
75025	       16	      233	   200000	      815	        4	0.00
75025	       16	      377	   200000	      804	        4	0.00
75025	       16	      610	   200000	      911	        4	0.00
75025	       16	      987	   200000	      979	        4	0.00
75025	       16	     1597	   200000	     1166	        5	0.00
75025	       16	     2584	   200000	     1423	        7	0.00
75025	       16	     4181	   200000	     1817	        9	0.00
75025	       16	     6765	   200000	     2550	       12	0.00
75025	       16	    10946	   200000	     2993	       14	0.00
75025	       16	    17711	   200000	     4114	       20	0.00
75025	       16	    28657	   200000	     4843	       24	0.00
75025	       16	    46368	   200000	     6806	       34	0.00
75025	       16	    75025	   200000	     9519	       47	0.00
121393	       16	      144	   400000	     1663	        4	0.00
121393	       16	      233	   400000	     2549	        6	0.00
121393	       16	      377	   400000	     1762	        4	0.00
121393	       16	      610	   400000	     1815	        4	0.00
121393	       16	      987	   400000	     2004	        5	0.00
121393	       16	     1597	   400000	     2525	        6	0.00
121393	       16	     2584	   400000	     3154	        7	0.00
121393	       16	     4181	   400000	     3620	        9	0.00
121393	       16	     6765	   400000	     5160	       12	0.00
121393	       16	    10946	   400000	     7802	       19	0.00
121393	       16	    17711	   400000	     7888	       19	0.00
121393	       16	    28657	   400000	     9105	       22	0.00
121393	       16	    46368	   400000	    11502	       28	0.00
121393	       16	    75025	   400000	    16543	       41	0.00
196418	       16	      144	   400000	     1704	        4	0.00
196418	       16	      233	   400000	     1686	        4	0.00
196418	       16	      377	   400000	     1705	        4	0.00
196418	       16	      610	   400000	     1783	        4	0.00
196418	       16	      987	   400000	     2036	        5	0.00
196418	       16	     1597	   400000	     2343	        5	0.00
196418	       16	     2584	   400000	     2561	        6	0.00
196418	       16	     4181	   400000	     2961	        7	0.00
196418	       16	     6765	   400000	     4209	       10	0.00
196418	       16	    10946	   400000	     4261	       10	0.00
196418	       16	    17711	   400000	     5159	       12	0.00
196418	       16	    28657	   400000	     7596	       18	0.00
196418	       16	    46368	   400000	    10225	       25	0.00
196418	       16	    75025	   400000	    14425	       36	0.00
